&nbsp&nbsp&nbsp&nbsp越来越多的中国企业已经意识到,专注且持续的慈善策略有助于企业利益的最大化
&nbsp&nbsp&nbsp&nbsp新浪财经讯 《福布斯》中文版于8日上午发布了“2006中国慈善榜”,世纪金源黄如论以1.58亿的捐赠额高居榜首。余彭年9360万居次席。
&nbsp&nbsp&nbsp&nbsp据榜单分析,相比前两年的中国慈善榜,今年中国企业捐赠金额大幅跃升,与去年相比,捐赠金额的增幅高达76.6%,其中超过1/3的企业连续3年荣登慈善榜。
&nbsp&nbsp&nbsp&nbsp2006中国慈善榜显示,100家榜上有名的非国有企业在2005年度的捐赠总额超过8.4亿元,比2004年度有76.6%的显著飞跃。此外,跨国公司在中国日益活跃,捐赠力度逐年加大,因此,今年跨国公司的慈善捐赠排名从以往的10家企业拓展到了25家,汇丰银行以2278万元的捐赠总额再次高居榜首。
&nbsp&nbsp&nbsp&nbsp《福布斯》中文版已经连续三年推出中国慈善榜,三年来已有超过1/3的中国企业连年登上中国慈善榜。专注且持续的慈善策略正日益成为中国企业的理性追求。慈善榜显示,企业的捐赠方向集中在教育和扶贫两个方面,其中将两者相结合的“助学”捐赠成为企业追逐的新热点。此外,更多的企业对突发性灾害表现出高度热情,在诸如印度洋海啸、广东、黑龙江两省的特大洪灾中广施善缘。
&nbsp&nbsp&nbsp&nbsp在浙江、江苏等地,企业冠名慈善基金成为时髦现象。为了吸引更多的企业投身慈善,各家慈善总会采取了新的方式,允许把1,000万元本金留在企业,每年或每月捐出利息部分上缴慈善总会。最具典型性的当属常州,一夜间涌现了11家“千万基金”捐赠企业。
&nbsp&nbsp&nbsp&nbsp通过对比发现,去年上榜的中国企业中捐赠金额在100万元以下的有9家,前100名中最低捐赠金额为58万元,而今年上榜的100家中国企业捐赠金额全部在100万元以上。上榜企业的地域分布较往年更为广泛。从未在福布斯富豪榜上出现过的宁夏回族自治区,也开始有企业登上慈善榜。 (步卒)
&nbsp&nbsp&nbsp&nbsp2006中国慈善榜前10名

     -                   捐赠公司   董事长/   总经理     地区   2005年捐赠金额(万元)                                                                                     主要捐赠方向
     1           世纪金源投资集团    黄如论     北京   15,800   福建省江夏百姓医疗救助基金会1亿元；重庆贫困山区教育事业1,000万元；云南省人民政府教育基金1,000万元
     2   余彭年管理(深圳)有限公司    余彭年     深圳    9,360   彭年光明行动31,200例手术费用9,360万元
     3               四川宏达集团    刘沧龙     四川    4,625   云南省兰坪县“普九”教育2,000万元；宏达新村工程建设项目2,000万元；资助重建德阳市钟鼓楼500万元
     4               大连万达集团    王健林     辽宁    3,594   大连大学博物捐赠1,500万元；中国光彩事业促进会600万元；大连农民工捐助基金500万元；见义勇为基金会500万元
     5                   世茂集团    许荣茂     上海    2,663   中华红丝带基金2,000万元；南京大学、东南大学奖助学基金100万元；北京朝阳区慈善协会100万元
     6           华为技术有限公司    任正非     深圳    2,380   印度洋海啸2,000万元；广东特大洪灾捐款380万元
     7               福建达利集团    许世辉     福建    2,100   捐建惠安县老年人活动中心1,600万元；达利集团情系西北公益助学基金400万元
     8           国美电器有限公司    黄光裕     北京    1,410   援建印度洋海啸受灾国孤儿院1,000万元；为黑龙江洪灾遇难学生家庭捐款110万元
     9                   天狮集团    李金元     天津    1,303   向中国红十字基金会捐赠1,000万元设立“天狮爱心基金”；捐赠中国红十字总会100万元
    10   湖北省宇济房地产开发公司    余汉江     湖北    1,242   湖北省慈善总会1,000万元；向孝感市生态公园项目捐款108万元

&nbsp&nbsp&nbsp&nbsp2006跨国公司慈善捐赠排名

     -       捐赠公司        国别   2005年捐赠金额(万元)   主要捐赠方向
     1       汇丰银行        英国                   2278   世界自然基金会长江项目637.2万元；中华慈善总会262.5万元；上海慈善会事业人员及农民工再培训123.6万元
     2           碧辟        英国                   1610   清华大学经济管理学院“中国与世界经济研究中心”60万美元；支持“中国中小学绿色教育行动”21万美元；新成立广东BP希望小学人民币25万
     3       丰田汽车        日本                   1474   "中国青年丰田环境保护奖"350万元；11所高校“丰田奖学金”315万元
     4           壳牌   英国/荷兰                   1125   扶贫基金会农村妇女能力建设项目、上海可持续交通项目410万元；壳牌“美境行动”150万元
     5           安利        美国                   1106   高校支教助学430万元；珠峰环境保护项目270万元
     6       花旗集团        美国                   1060   中国社会科学院中国小额信贷发展促进会和小额信贷培训中心37万美元；“中国小额信贷创业奖                                                                                              ”16万美元
     7       通用电气        美国                    856   向中国青少年发展基金会捐赠80万美元；GE基金会奖学金100万元；捐助国际青年成就组织中国部5000元美金
     8             3M        美国                    811   向国际民间环保组织“保护国际”捐赠100万美元用于中国西南山地环境保护
     9   百时美施贵宝        美国                    770   中国疾病预防控制中心艾滋病医疗救治培训与社区关怀项目70万美元；中国肝炎防治基金会20万美元
    10       可口可乐        美国                    595   农村教育207万元；青少年健康"健康之旅"115.5万元;中国职教社农民培训与就业100万元
    11           宝洁        美国                    547   向中国青少年发展基金会捐款400万元；向中华慈善总会捐款50万元用于帮助孤儿；向中国扶贫基金会捐款10万元
    12       辉瑞制药        美国                    533   向美国癌症协会捐赠10万美元,用在中国开展癌症预防教育项目；向中华健康快车基金会捐赠人民币20万用于眼科火车医院项目
    13       摩托罗拉        美国                    521   希望工程                                                                                                                         350万元；春雨计划32万元；中国红十字会“心灵阳光”项目20万元
    14           三星        韩国                    467   三星高校奖学金268万元；希望工程捐款100万元
    15           索尼        日本                    443   索尼爱心助学工程给中国青少年发展基金会100万元；索尼奖学金93万元
    16         玫琳凯        美国                    442   中国妇女发展基金会“中国妇女维权与法律帮助专项基金”315万元；各地春蕾小学62万元
    17           百事        美国                    406   “大地之爱,母亲水窖”首批50万美元
    18       陶氏化学        美国                    400   中华环境保护基金会200万元
    19           杜邦        美国                    284   资助国家环保总局“中华环境科技奖”100万元；9所大学杜邦奖学金45万元；
    20     德意志银行        德国                    240   德意志银行亚洲基金20万欧元资助成立北京大学贫困地区发展研究院
    21         沃尔玛        美国                    236   重庆野生动物保护协会20万元；上海市慈善基金会20万元；安徽省芜湖市环境科学协会20万元
    22         爱立信        瑞典                    173   广西壮族自治区爱立信希望小学100万元；海南小学重建5万元
    23         西门子        德国                    150   西门子中国与北京体育大学设立“西门子奖学金”100万；资助云南省金平、麻栗坡两县扶贫项目30万元
    24       宝马汽车        德国                    135   宝马优秀大学生奖励基金50万元；资助温州低收入家庭大学生25万元
    25         飞利浦        荷兰                    133   捐赠希望小学10.6万欧元
