证券代码    证券简称        公告日期      业绩预测  上年同期每股收益
 000002     Ｇ万科Ａ       2006-03-21     预增               0.111 
 000005     ST星源(行情,论坛)         2006-04-13     扭亏              -0.009 
 000007     深达声Ａ       2006-04-07     首亏               0.1   
 000014     Ｇ沙河         2006-04-18     预增               0.0919
 000028     Ｇ一致         2006-03-31     预增               0.039 
 000033     Ｇ新都         2006-04-25     预增               0.0015
 000036     Ｇ华联         2006-04-15     扭亏              -0.0326
 000038     *ST大通(行情,论坛)        2006-04-13     首亏               0.0005
 000055     Ｇ方大Ａ       2006-01-21     续盈               0.0065
 000058     深赛格(行情,论坛)         2006-04-14     首亏               0.0087
 000060     Ｇ中金         2006-04-05     预增               0.13  
 000063     Ｇ中兴         2006-04-18     预减               0.24  
 000068     赛格三星(行情,论坛)       2006-04-12     首亏               0.095 
 000090     Ｇ天健         2006-04-07     预增               0.022 
 000408     *ST玉源(行情,论坛)        2006-04-18     首亏               0.01  
 000409     *ST四通(行情,论坛)        2006-04-11     续亏              -0.0178
 000413     Ｇ宝石         2006-04-12     首亏               0.003 
 000421     南京中北(行情,论坛)       2006-04-18     预减               0.017 
 000519     Ｇ银动         2006-04-14     扭亏              -0.0378
 000524     Ｇ穗东方       2006-03-28     续亏              -0.03  
 000537     Ｇ广宇         2006-04-12     首亏               0.0232
 000555     ST太光(行情,论坛)         2006-04-19     续盈               0.0214
 000563     陕国投Ａ       2006-04-07     首亏               0.002 
 000589     Ｇ黔轮胎       2006-03-14     预增               0.021 
 000592     *ST昌源(行情,论坛)        2006-04-27     续亏              -0.0137
 000633     *ST合金(行情,论坛)        2006-04-25     续亏              -0.0412
 000636     Ｇ风华         2006-04-06     预增               0.0014
 000637     茂化实华(行情,论坛)       2006-04-19     扭亏              -0.059 
 000657     中钨高新(行情,论坛)       2006-04-14     首亏               0.0111
 000680     山推股份(行情,论坛)       2006-04-14     预增               0.02  
 000687     Ｇ天鹅         2006-04-15     续亏              -0.046 
 000688     朝华集团(行情,论坛)       2006-04-27     续亏              -0.0946
 000690     Ｇ宝丽华       2006-04-04     预增               0.057 
 000693     *ST聚友(行情,论坛)        2006-04-20     续亏              -0.1228
 000695     Ｇ滨能         2006-04-15     预增               0.0454
 000698     Ｇ沈化         2006-04-13     预增               0.017 
 000703     世纪光华(行情,论坛)       2006-03-17     续盈               0.007 
 000725     Ｇ京东方       2006-04-03     续亏              -0.31  
 000732     福建三农(行情,论坛)       2006-04-27     首亏               0.02  
 000759     Ｇ中百         2006-04-07     预增               0.065 
 000767     Ｇ漳电         2006-04-05     预增               0.0602
 000783     石炼化(行情,论坛)         2006-04-25     续亏              -0.08  
 000785     Ｇ中商         2006-04-11     预增               0.023 
 000789     *ST江泥(行情,论坛)        2006-04-11     扭亏              -0.089 
 000807     云铝股份(行情,论坛)       2006-04-04     预增               0.0445
 000856     *ST唐陶(行情,论坛)        2006-04-07     续亏              -0.03  
 000878     Ｇ云铜         2006-04-05     预增               0.0704
 000902     中国服装(行情,论坛)       2006-04-20     首亏               0.002 
 000918     *ST亚华(行情,论坛)        2006-04-05     预增               0.019 
 000950     ＧST农化       2006-03-28     扭亏              -0.0246
 000963     华东医药(行情,论坛)       2006-04-07     预增               0.0485
 000966     长源电力(行情,论坛)       2006-04-11     扭亏              -0.0455
 000968     Ｇ煤气化       2006-04-12     首亏               0.13  
 000975     科学城(行情,论坛)         2006-04-11     预减               0.031 
 000979     *ST科苑(行情,论坛)        2006-04-19     续亏              -0.131 
 002007     华兰生物(行情,论坛)       2006-04-10     预增               0.11  
 002008     大族激光(行情,论坛)       2006-04-08     预增               0.052 
 002012     凯恩股份(行情,论坛)       2006-04-19     预减               0.13  
 002017     东信和平(行情,论坛)       2006-04-12     预减               0.1314
 002025     航天电器(行情,论坛)       2006-03-24     预增               0.19  
 002039     黔源电力(行情,论坛)       2006-03-27     续亏              -0.25  
 002042     飞亚股份(行情,论坛)       2006-03-29     首亏               0.072 
 200002     万科Ｂ         2006-03-21     预增               0.111 
 200028     一致Ｂ         2006-03-31     预增               0.039 
 200055     方大Ｂ         2006-01-21     续盈               0.0065
 200058     深赛格(行情,论坛)Ｂ       2006-04-14     首亏               0.0087
 200413     宝石Ｂ         2006-04-12     首亏               0.003 
 200725     京东方Ｂ       2006-04-03     续亏              -0.31  
 600035     楚天高速(行情,论坛)       2006-04-14     预增               0.0257
 600081     东风科技(行情,论坛)       2006-04-07     首亏               0.0214
 600092     *ST精密(行情,论坛)        2006-04-20     续亏              -0.0068
 600097     华立科技(行情,论坛)       2006-02-20     预增               0.0136
 600114     Ｇ东睦         2006-04-15     预减               0.057 
 600162     香江控股(行情,论坛)       2006-04-17     首亏               0.043 
 600183     Ｇ生益         2006-04-12     预增               0.021 
 600198     大唐电信(行情,论坛)       2006-04-12     扭亏              -0.1491
 600207     安彩高科(行情,论坛)       2006-04-08     首亏               0.122 
 600220     Ｇ苏阳光       2006-03-29     预增               0.01  
 600230     Ｇ沧大         2006-04-22     扭亏              -0.065 
 600231     Ｇ凌钢         2006-04-05     预减               0.293 
 600255     鑫科材料(行情,论坛)       2006-04-06     预增               0.036 
 600260     Ｇ凯乐         2006-04-07     预增               0.05  
 600275     武昌鱼(行情,论坛)         2006-04-14     首亏               0.0281
 600279     Ｇ重庆港       2006-04-22     预增               0.026 
 600305     恒顺醋业(行情,论坛)       2006-04-21     预增               0.0422
 600307     Ｇ酒钢         2006-04-22     预减               0.305 
 600325     Ｇ华发         2006-04-12     预增               0.1609
 600338     ST珠峰(行情,论坛)         2006-04-18     续亏              -0.06  
 600381     贤成实业(行情,论坛)       2006-04-20     首亏               0.0295
