&nbsp&nbsp&nbsp&nbsp各地股改进程一览(按家数)

    省份               已股改家数   应股改家数   占比(％)
    内蒙古自治区               19           20      95.00
    河南省                     27           31      87.10
    安徽省                     38           45      84.44
    宁夏回族自治区              9           11      81.82
    山西省                     18           22      81.82
    新疆维吾尔自治区           22           27      81.48
    上海                      109          137      79.56
    浙江省                     66           86      76.74
    广东省                    114          149      76.51
    北京                       64           84      76.19
    河北省                     25           34      73.53
    辽宁省                     31           47      65.96
    江苏省                     57           87      65.52
    天津                       15           23      65.22
    贵州省                     11           17      64.71
    陕西省                     16           25      64.00
    山东省                     47           74      63.51
    江西省                     15           24      62.50
    重庆                       17           28      60.71
    广西壮族自治区             13           22      59.09
    云南省                     13           22      59.09
    湖北省                     34           59      57.63
    海南省                     10           20      50.00
    湖南省                     22           44      50.00
    西藏自治区                  4            8      50.00
    福建省                     21           43      48.84
    青海省                      4            9      44.44
    吉林省                     14           32      43.75
    甘肃省                      8           19      42.11
    四川省                     25           64      39.06
    黑龙江省                    8           31      25.81

