&nbsp&nbsp&nbsp&nbsp(数据整理:周韬)


    各地股改进程一览(按市值)省份   已股改市值(亿元)   应股改市值(亿元)   占比(％)
    内蒙古自治区                             444.99             456.33      97.52
    山西省                                   532.79             558.71      95.36
    安徽省                                   734.11             772.07      95.08
    河南省                                   625.99             658.56      95.05
    广东省                                  4378.10            4946.05      88.52
    上海                                    5276.91            5968.73      88.41
    贵州省                                   562.46             637.56      88.22
    宁夏回族自治区                            80.12              91.18      87.87
    云南省                                   410.14             471.89      86.91
    新疆维吾尔自治区                         333.75             398.60      83.73
    河北省                                   584.30             707.81      82.55
    青海省                                   166.41             203.11      81.93
    江西省                                   395.53             497.59      79.49
    陕西省                                   227.65             296.84      76.69
    浙江省                                   863.89            1134.06      76.18
    天津                                     507.19             671.91      75.49
    广西壮族自治区                           251.96             336.47      74.88
    海南省                                   188.70             269.22      70.09
    湖南省                                   428.23             615.26      69.60
    四川省                                   870.86            1268.47      68.65
    江苏省                                  1124.11            1644.91      68.34
    辽宁省                                   749.83            1116.65      67.15
    湖北省                                   642.35             962.12      66.76
    山东省                                  1245.26            1886.78      66.00
    重庆                                     222.72             346.99      64.19
    福建省                                   408.24             692.46      58.96
    西藏自治区                                33.79              65.17      51.85
    甘肃省                                   118.76             236.20      50.28
    吉林省                                   212.75             430.32      49.44
    北京                                    3354.27            7958.61      42.15
    黑龙江省                                 153.11             469.84      32.59
