名称         债券 发行日期 到期日期 总额     利率   价格     收益率(％)
             类别                   亿元      ％    (元)   (单利)  (复利)
05国债(11)   附息 20051020 20101020 333.5    2.14   98.57   2.900   2.750
国债0511     附息 20051020 20101020 333.5    2.14  101.12   2.231   2.137
05国债(12)   附息 20051115 20201115 344.1    3.65  104.62   4.189   3.389
国债0512     附息 20051115 20201115 344.1    3.65  101.65   4.586   3.649
05国债(9)    附息 20050825 20120825 319.4    2.83  101.53   3.133   2.895
国债0509     附息 20050825 20120825 319.4    2.83  101.92   3.054   2.826
国债0513     附息 20051125 20121125 328.4    3.01  101.28   3.274   3.006
06国债(3)    附息 20060327 20160327 340      2.80   98.43   3.438   3.014
国债0603     附息 20060327 20160327 340      2.80  100.25   3.163   2.800
05国债(14)   附息 20051215 20071215 333.9    1.75   99.95   2.236   2.187
国债0514     附息 20051215 20071215 333.9    1.75  100.65   1.783   1.746
06国债(1)    附息 20060227 20130227 330      2.51   99.22   2.930   2.703
国债0601     附息 20060227 20130227 330      2.51  100.42   2.704   2.508
06国债(2)    贴现 20060316 20060616 330      0.00  100.00   0.000   0.000
国债0602     贴现 20060316 20060616 330      0.00   99.67   3.099   3.142
96国债(6)    附息 19960614 20060614 255.3   11.83  112.17  -2.990  -2.432
97国债(4)    附息 19970905 20070905 130      9.78  117.20   1.616   1.584
99国债(5)    附息 19990820 20070820 160      3.28  104.02   1.947   1.909
99国债(8)    附息 19990923 20090923 200      3.30  103.64   2.889   2.778
20国债(4)    附息 20000523 20100523 140      2.87  102.94   2.940   2.801
国债905      附息 20001114 20071114 120      2.63  100.25   3.343   3.261
国债966      附息 19960614 20060614 255.3   11.83  111.65   1.590   1.315
国债995      附息 19990820 20070820 160      3.28  103.63   2.255   2.210
国债998      附息 19990923 20090923 200      3.30  102.96   3.116   2.989
国债904      附息 20000523 20100523 140      2.87  102.98   2.928   2.791
21国债(10)   附息 20010925 20110925 200      2.95  101.46   3.221   3.006
国债0115     附息 20011218 20081218 200      3.00  101.60   2.882   2.791
05国债(10)   贴现 20050915 20060915 331.7    0.00   99.40   1.695   1.704
