          沪深股市A股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 000569   长城股份(行情,论坛)        5.12      19.70  
 600361   Ｇ综超         15.58      19.23  
 600151   Ｇ航天         12.20      18.03  
 600694   大商股份(行情,论坛)       33.73      18.00  
 600030   Ｇ中信         11.80      17.47  
 600470   Ｇ六国          7.78      16.92  
 600468   Ｇ百利          5.58      16.85  
 000612   焦作万方(行情,论坛)        8.20      16.48  
 600111   Ｇ稀土          6.99      16.44  
 000410   Ｇ沈机          9.76      15.78  
 000852   江钻股份(行情,论坛)       10.91      15.77  
 000576   Ｇ甘化          3.51      15.74  
 600879   Ｇ火箭         11.24      15.55  
 600401   Ｇ申龙          2.94      15.38  
 600358   国旅联合(行情,论坛)        4.29      15.21  
 600316   洪都航空(行情,论坛)       17.49      14.97  
 600824   Ｇ益民          5.70      14.88  
 600501   Ｇ晨光          8.64      14.85  
 600723   西单商场(行情,论坛)        4.42      14.68  
 600547   Ｇ鲁黄金       25.02      14.66  

          沪深股市A股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 000004   *ST国农(行情,论坛)         3.23       0.00  
 000633   *ST合金(行情,论坛)         1.56       0.00  
 000789   *ST江泥(行情,论坛)         2.31       0.00  
 000862   *ST仪表(行情,论坛)         3.29       0.00  
 000888   峨眉山Ａ        6.22       0.00  
 600225   *ST天香(行情,论坛)         1.74       0.00  
 600497   驰宏锌锗(行情,论坛)       27.65       0.00  
 600655   豫园商城(行情,论坛)        7.79       0.00  
 000650   *ST九化(行情,论坛)         1.38       0.76  
 600724   宁波富达(行情,论坛)        6.55       0.91  
 600200   Ｇ吴中          8.49       1.17  
 600745   *ST天华(行情,论坛)         1.35       1.41  
 600516   *ST海龙(行情,论坛)         2.56       1.50  
 000959   Ｇ首钢          2.49       1.60  
 600126   Ｇ杭钢          3.12       1.60  
 600307   Ｇ酒钢          3.71       1.60  
 600019   Ｇ宝钢          4.22       1.65  
 000505   *ST珠江(行情,论坛)         1.72       1.66  
 000540   *ST中天(行情,论坛)         1.73       1.82  
 600521   Ｇ华海         10.70       1.84  

          沪深股市B股震幅前二十名

  代码    股票简称       收盘价    振幅(%)
 900939   汇丽Ｂ股        0.20      14.14  
 900955   茉织华Ｂ        0.66      13.14  
 900950   新城Ｂ股        0.81      12.01  
 900935   阳晨Ｂ股        0.40      11.29  
 200056   深国商Ｂ        2.69      11.20  
 200019   深深宝Ｂ        3.40      10.03  
 200550   江铃Ｂ          5.49       9.85  
 200018   深中冠Ｂ        1.75       9.60  
 900926   宝信Ｂ          0.61       9.58  
 900916   凤凰Ｂ股        0.21       8.82  
 900907   发展Ｂ股        0.21       8.65  
 200002   万科Ｂ          8.00       8.50  
 200625   长安Ｂ          4.38       7.91  
 200160   帝贤Ｂ          1.45       7.41  
 900904   永生Ｂ股        0.35       7.34  
 200011   深物业Ｂ        2.56       7.27  
 900933   华新Ｂ股        0.59       7.02  
 200017   *ST中华B(行情,论坛)        0.71       6.85  
 900953   凯马Ｂ股        0.20       6.81  
 900905   中铅Ｂ股        0.40       6.68  

          沪深股市B股震幅后二十名

  代码    股票简称       收盘价    振幅(%)
 200041   *ST本实B(行情,论坛)        1.28       0.00  
 200505   *ST珠江(行情,论坛)B        1.03       0.93  
 200726   鲁泰Ｂ          6.73       1.03  
 200037   深南电Ｂ        3.76       1.34  
 900949   东电Ｂ股        0.41       1.72  
 200022   深赤湾Ｂ       13.35       1.84  
 900947   振华Ｂ股        1.99       1.97  
 900937   华电Ｂ股        0.25       1.99  
 200521   皖美菱Ｂ        1.48       2.04  
 900940   华源Ｂ股        0.19       2.09  
 200541   粤照明Ｂ        8.29       2.15  
 900920   上柴Ｂ股        0.32       2.17  
 200488   晨鸣Ｂ          4.01       2.18  
 200152   山航Ｂ          1.27       2.33  
 200530   大冷Ｂ          3.23       2.48  
 200706   瓦轴Ｂ          3.12       2.52  
 900908   氯碱Ｂ股        0.23       2.55  
 900932   陆家Ｂ股        0.67       2.61  
 200986   粤华包Ｂ        2.25       2.65  
 900906   中纺Ｂ股        0.15       2.65  


  公式：震幅 = （当日最高价 - 当日最低价）*100 / 前日收盘价
