          A股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 000962   Ｇ东方钽           4272.72      22.71  
 002018   华星化工(行情,论坛)            574.83      20.53  
 002017   东信和平(行情,论坛)            651.20      19.29  
 000028   Ｇ一致             1338.96      18.77  
 000906   南方建材(行情,论坛)           1212.32      18.23  
 600961   Ｇ株冶             2797.09      17.27  
 600714   金瑞矿业(行情,论坛)            653.98      16.25  
 000785   Ｇ中商             1557.43      15.71  
 600425   Ｇ青松             1254.04      15.48  
 000960   Ｇ锡业             3660.54      14.44  
 002033   丽江旅游(行情,论坛)            486.35      14.41  
 000055   Ｇ方大Ａ           1010.33      14.29  
 600151   Ｇ航天             2502.91      13.41  
 600476   Ｇ湘邮              608.10      13.36  
 600470   Ｇ六国             1337.58      13.06  
 600679   Ｇ凤凰              621.26      13.02  
 600979   广安爱众(行情,论坛)            843.42      12.98  
 600111   Ｇ稀土             2476.06      12.88  
 600405   Ｇ动力源            629.81      12.68  
 002046   轴研科技(行情,论坛)            406.45      12.51  

          A股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 000862   *ST仪表(行情,论坛)              13.09       0.11  
 600497   驰宏锌锗(行情,论坛)              8.45       0.12  
 600664   哈药集团(行情,论坛)            134.81       0.17  
 600200   Ｇ吴中               69.44       0.25  
 600380   健康元(行情,论坛)               40.83       0.26  
 000637   茂化实华(行情,论坛)             43.36       0.28  
 000639   金德发展(行情,论坛)              9.60       0.29  
 000633   *ST合金(行情,论坛)              51.57       0.31  
 000888   峨眉山Ａ             28.87       0.31  
 600655   豫园商城(行情,论坛)             67.64       0.45  
 600877   中国嘉陵(行情,论坛)             97.86       0.45  
 000789   *ST江泥(行情,论坛)              56.74       0.51  
 600178   东安动力(行情,论坛)             70.02       0.51  
 600250   南纺股份(行情,论坛)             64.02       0.58  
 600857   工大首创(行情,论坛)             60.18       0.66  
 600038   哈飞股份(行情,论坛)            103.71       0.70  
 600406   国电南瑞(行情,论坛)             54.84       0.70  
 000766   *ST通金(行情,论坛)             214.71       0.75  
 600865   百大集团(行情,论坛)            105.01       0.78  
 600083   ST博讯(行情,论坛)              106.65       0.79  

          B股换手率前二十名

  代码    股票简称       成交量(万股)  换手率(%)
 900935   阳晨Ｂ股            311.96       3.25  
 900926   宝信Ｂ              270.73       3.08  
 900923   友谊Ｂ股            406.04       2.49  
 900950   新城Ｂ股            299.17       2.23  
 200011   深物业Ｂ            124.85       2.03  
 900942   黄山Ｂ股            195.88       1.88  
 200570   苏常柴Ｂ            183.56       1.84  
 200160   帝贤Ｂ              626.04       1.63  
 200505   *ST珠江(行情,论坛)B             88.55       1.54  
 200056   深国商Ｂ            149.29       1.47  
 200019   深深宝Ｂ             38.15       1.46  
 200028   一致Ｂ               78.79       1.44  
 200761   本钢板Ｂ            510.95       1.28  
 200429   粤高速Ｂ            445.35       1.28  
 200418   小天鹅Ｂ            144.78       1.14  
 200771   杭汽轮Ｂ             89.75       1.12  
 200029   深深房Ｂ            134.31       1.12  
 200025   深特力Ｂ             28.30       1.07  
 200054   建摩Ｂ              125.17       1.04  
 200055   方大Ｂ              176.63       1.02  

          B股换手率后二十名

  代码    股票简称       成交股数(万股)  换手率(%)
 200018   深中冠Ｂ              5.59       0.08  
 200037   深南电Ｂ             18.06       0.12  
 900945   海航Ｂ股             21.62       0.12  
 900933   华新Ｂ股             21.78       0.13  
 200581   苏威孚Ｂ             17.79       0.15  
 200992   ST中鲁Ｂ             22.29       0.16  
 200020   *ST华发B(行情,论坛)             17.00       0.17  
 200512   闽灿坤Ｂ             75.97       0.18  
 900912   外高Ｂ股             40.47       0.20  
 900928   ST自仪(行情,论坛)Ｂ             20.96       0.20  
 900937   华电Ｂ股             92.10       0.21  
 900902   二纺Ｂ股             52.93       0.23  
 900920   上柴Ｂ股             50.34       0.23  
 200726   鲁泰Ｂ               39.23       0.24  
 900917   海欣Ｂ股             96.19       0.24  
 900940   华源Ｂ股             50.77       0.25  
 900949   东电Ｂ股            192.98       0.28  
 900906   中纺Ｂ股             35.10       0.29  
 900908   氯碱Ｂ股            123.53       0.30  
 900925   机电Ｂ股             54.88       0.30  


  公式：换手率(%) = （成交量 / 流通股本）* 100
