          A股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
600005    Ｇ武钢      2.64     4.29  
600022    Ｇ济钢      4.21     4.78  
600231    Ｇ凌钢      3.20     5.16  
600307    Ｇ酒钢      3.71     5.30  
600010    Ｇ包钢      1.90     5.43  
600808    Ｇ马钢      2.49     5.65  
600019    Ｇ宝钢      4.22     5.86  
000709    Ｇ唐钢      3.03     6.06  
600428    Ｇ中远      6.50     6.19  
000629    Ｇ新钢钒    2.98     6.21  
600581    Ｇ八一      2.62     6.24  
000825    Ｇ太钢      3.82     6.36  
600508    Ｇ上能      6.73     6.66  
600001    Ｇ邯钢      2.76     6.90  
600096    Ｇ云天化    8.78     6.91  
000761    Ｇ本钢      3.87     6.95  
600556    Ｇ北生      3.20     6.97  
000778    Ｇ铸管      5.73     6.99  
600500    Ｇ中化      3.99     7.00  
000959    Ｇ首钢      2.49     7.32  

          B股市盈率最小二十名

  代码    股票简称   收盘价   市盈率
900948    伊泰Ｂ股    1.44     5.98  
200761    本钢板Ｂ    3.33     6.19  
900950    新城Ｂ股    0.81     7.70  
200039    中集Ｂ     10.50     8.22  
200771    杭汽轮Ｂ   13.46     8.77  
200488    晨鸣Ｂ      4.01     9.31  
200726    鲁泰Ｂ      6.73     9.40  
200550    江铃Ｂ      5.49     9.96  
900910    海立Ｂ股    0.40     9.96  
200513    丽珠Ｂ      3.68    10.87  
900949    东电Ｂ股    0.41    10.96  
900938    *ST天海B(行情,论坛)    0.17    11.36  
900914    锦投Ｂ股    0.65    11.45  
200530    大冷Ｂ      3.23    11.60  
900903    大众Ｂ股    0.54    12.37  
200429    粤高速Ｂ    3.34    13.28  
200012    南玻Ｂ      3.99    13.31  
200541    粤照明Ｂ    8.29    14.05  
200539    粤电力Ｂ    3.71    14.15  
200986    粤华包Ｂ    2.25    14.63  

          A股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
600868    梅雁股份(行情,论坛)    1.96  1781.82    
600618    Ｇ氯碱      4.91  1402.86    
001896    豫能控股(行情,论坛)    2.57  1223.81    
000938    Ｇ紫光      7.78   707.27    
000638    *ST中辽(行情,论坛)     2.79   680.49    
600365    Ｇ通葡酒    4.84   663.01    
600841    上柴股份(行情,论坛)    7.79   649.17    
000415    汇通水利(行情,论坛)    4.11   595.65    
000504    赛迪传媒(行情,论坛)    3.88   587.88    
600864    岁宝热电(行情,论坛)    7.93   587.41    
000565    渝三峡Ａ    4.52   587.01    
000514    Ｇ渝开发    3.58   586.89    
000657    中钨高新(行情,论坛)   11.73   586.50    
600893    华润生化(行情,论坛)    5.46   580.85    
000751    Ｇ锌业      4.04   561.11    
600727    鲁北化工(行情,论坛)    4.29   536.25    
600885    力诺太阳(行情,论坛)    6.78   533.86    
600876    洛阳玻璃(行情,论坛)    3.44   484.51    
600118    中国卫星(行情,论坛)   13.66   482.69    
000955    Ｇ欣龙      2.55   481.13    

          B股市盈率最大二十名

  代码    股票简称   收盘价   市盈率
900908    氯碱Ｂ股    0.23   526.80    
900920    上柴Ｂ股    0.32   213.77    
900946    ST轻骑(行情,论坛)Ｂ    0.14   207.84    
200029    深深房Ｂ    2.14   184.38    
900901    上电Ｂ股    0.25   182.19    
900921    *ST大盈B(行情,论坛)    0.19   169.24    
900956    东贝Ｂ股    0.27   152.43    
900902    二纺Ｂ股    0.18   142.87    
200596    *ST古井B(行情,论坛)    2.89   135.82    
900930    邮通Ｂ股    0.35   121.99    
200019    深深宝Ｂ    3.40   117.18    
900953    凯马Ｂ股    0.20   117.03    
900928    ST自仪(行情,论坛)Ｂ    0.20   115.35    
200521    皖美菱Ｂ    1.48    95.64    
200017    *ST中华B(行情,论坛)    0.71    94.11    
200553    沙隆达Ｂ    1.55    92.10    
900943    开开Ｂ股    0.23    87.80    
200056    深国商Ｂ    2.69    87.73    
200025    深特力Ｂ    2.16    86.56    
900916    凤凰Ｂ股    0.21    81.33    


  公式：市盈率 = 当日收盘价 / （上一年度末每股收益）
  注：仅计算上一年度末每股收益大于零并且收盘价大于零情况
