沪市：
每100美元兑换人民币801.65元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (美元)                        (元)                  
900901  上电Ｂ股   0.25    2.004      1.507     3.02  Ｇ电子    600602 
900902  二纺Ｂ股   0.182   1.459      1.707     2.49  Ｇ二纺机  600604 
900903  大众Ｂ股   0.544   4.361      1.445     6.3   大众交通(行情,论坛)  600611 
900904  永生Ｂ股   0.349   2.798      2.763     7.73  永生数据(行情,论坛)  600613 
900905  中铅Ｂ股   0.395   3.167      1.866     5.91  Ｇ中铅    600612 
900906  中纺Ｂ股   0.15    1.202      2.720     3.27  中国纺机(行情,论坛)  600610 
900907  发展Ｂ股   0.207   1.659      3.737     6.2   三九发展(行情,论坛)  600614 
900908  氯碱Ｂ股   0.233   1.868      2.628     4.91  Ｇ氯碱    600618 
900909  轮胎Ｂ股   0.367   2.942      3.032     8.92  轮胎橡胶(行情,论坛)  600623 
900910  海立Ｂ股   0.399   3.199      2.101     6.72  Ｇ海立    600619 
900911  金桥Ｂ股   0.643   5.155      1.257     6.48  Ｇ金桥    600639 
900912  外高Ｂ股   0.37    2.966      1.649     4.89  Ｇ外高桥  600648 
900913  *ST联华(行情,论坛)B   0.2     1.603      2.870     4.6   *ST联华(行情,论坛)   600617 
900914  锦投Ｂ股   0.651   5.219      1.399     7.3   Ｇ锦投    600650 
900915  永久Ｂ股   0.387   3.102      2.324     7.21  Ｇ永久    600818 
900916  凤凰Ｂ股   0.213   1.708      1.786     3.05  Ｇ凤凰    600679 
900917  海欣Ｂ股   0.163   1.307      1.913     2.5   Ｇ海欣    600851 
900918  耀皮Ｂ股   0.323   2.589      1.213     3.14  Ｇ耀皮    600819 
900919  *ST大江(行情,论坛)B(行情,论坛)   0.118   0.946      3.192     3.02  *ST大江(行情,论坛)   600695 
900920  上柴Ｂ股   0.324   2.597      3.000     7.79  上柴股份(行情,论坛)  600841 
900921  *ST大盈(行情,论坛)B   0.192   1.539      2.567     3.95  *ST大盈(行情,论坛)   600844 
900922  三毛Ｂ股   0.213   1.708      1.815     3.1   上海三毛(行情,论坛)  600689 
900923  友谊Ｂ股   0.599   4.802      1.695     8.14  友谊股份(行情,论坛)  600827 
900924  上工Ｂ股   0.19    1.523      4.005     6.1   上工申贝(行情,论坛)  600843 
900925  机电Ｂ股   0.404   3.239      1.723     5.58  上海机电(行情,论坛)  600835 
900926  宝信Ｂ     0.609   4.882      2.851    13.92  宝信软件(行情,论坛)  600845 
900927  物贸Ｂ股   0.403   3.231      2.182     7.05  Ｇ物贸    600822 
900928  ST自仪(行情,论坛)Ｂ   0.201   1.611      2.042     3.29  ST自仪(行情,论坛)    600848 
900930  邮通Ｂ股   0.347   2.782      2.541     7.07  上海邮通(行情,论坛)  600680 
900931  PT水仙(行情,论坛)Ｂ   0.176   1.411      3.402     4.8   PT水仙(行情,论坛)    600625 
900932  陆家Ｂ股   0.673   5.395      1.455     7.85  Ｇ陆家嘴  600663 
900933  华新Ｂ股   0.59    4.730      1.116     5.28  Ｇ华新    600801 
900934  锦江Ｂ股   0.85    6.814      1.155     7.87  Ｇ锦江    600754 
900936  鄂绒Ｂ股   0.325   2.605      1.405     3.66  Ｇ鄂绒    600295 
900937  华电Ｂ股   0.247   1.980      1.652     3.27  华电能源(行情,论坛)  600726 
900938  *ST天海(行情,论坛)B(行情,论坛)   0.174   1.395      1.785     2.49  *ST天海(行情,论坛)   600751 
900940  华源Ｂ股   0.19    1.523      1.799     2.74  华源股份(行情,论坛)  600094 
900941  东信Ｂ股   0.217   1.740      1.868     3.25  东方通信(行情,论坛)  600776 
900942  黄山Ｂ股   0.9     7.215      1.268     9.15  Ｇ黄山    600054 
900943  开开Ｂ股   0.231   1.852      1.560     2.89  开开实业(行情,论坛)  600272 
900945  海航Ｂ股   0.303   2.429      0.984     2.39  海南航空(行情,论坛)  600221 
900946  ST轻骑(行情,论坛)Ｂ   0.144   1.154      1.967     2.27  ST轻骑(行情,论坛)    600698 
900947  振华Ｂ股   1.989  15.945      1.027    16.37  Ｇ振华    600320 
900952  锦港Ｂ股   0.355   2.846      1.420     4.04  锦州港(行情,论坛)    600190 
900955  茉织华Ｂ   0.655   5.251      0.834     4.38  Ｇ茉织华  600555 
深市：
每100港币兑换人民币103.39元
B股代码 B股简称  B股价格 B股折算价 AB股价格比 A股价格 A股简称  A股代码
                  (港元)                       (元)                   
200002  万科Ｂ     8       8.271      0.754     6.24  Ｇ万科Ａ  000002 
200003  PT金田Ｂ   1.6     1.654      1.638     2.71  PT金田Ａ  000003 
200011  深物业Ｂ   2.56    2.647      0.378     1     深物业Ａ  000011 
200012  南玻Ｂ     3.99    4.125      1.884     7.77  南玻Ａ    000012 
200013  *ST石化B(行情,论坛)   1.47    1.520      1.625     2.47  *ST石化A(行情,论坛)  000013 
200015  PT中浩Ｂ   1.95    2.016      3.398     6.85  PT中浩Ａ  000015 
200016  深康佳Ｂ   2.66    2.750      1.193     3.28  Ｇ康佳Ａ  000016 
200017  *ST中华B(行情,论坛)   0.71    0.734    1619.621   1188.802 *ST中华A(行情,论坛)  000017 
200018  深中冠Ｂ   1.75    1.809      2.427     4.39  深中冠Ａ  000018 
200019  深深宝Ｂ   3.4     3.515      1.807     6.35  深深宝Ａ  000019 
200020  *ST华发B(行情,论坛)   1.29    1.334      2.084     2.78  *ST华发A(行情,论坛)  000020 
200022  深赤湾Ｂ  13.35   13.803      1.147    15.83  深赤湾Ａ  000022 
200024  招商局Ｂ  11.5    11.890      0.972    11.56  Ｇ招商局  000024 
200025  深特力Ｂ   2.16    2.233      1.240     2.77  Ｇ特力Ａ  000025 
200026  飞亚达Ｂ   2.44    2.523      1.724     4.35  飞亚达Ａ  000026 
200028  一致Ｂ     3.5     3.619      1.285     4.65  Ｇ一致    000028 
200029  深深房Ｂ   2.14    2.213      1.604     3.55  Ｇ深深房  000029 
200030  *ST盛润B(行情,论坛)   0.57    0.589      2.326     1.37  *ST盛润A(行情,论坛)  000030 
200037  深南电Ｂ   3.76    3.887      1.153     4.48  Ｇ南电    000037 
200039  中集Ｂ    10.5    10.856      1.127    12.24  中集集团(行情,论坛)  000039 
200045  深纺织Ｂ   2.37    2.450      2.363     5.79  深纺织Ａ  000045 
200055  方大Ｂ     2.3     2.378      1.968     4.68  Ｇ方大Ａ  000055 
200056  深国商Ｂ   2.69    2.781      1.449     4.03  Ｇ深国商  000056 
200058  深赛格(行情,论坛)Ｂ   1.12    1.158      2.254     2.61  深赛格(行情,论坛)    000058 
