　　晨报讯（记者 赵阳）昨天，因二氧化硫超标，19种食品被市食品安全办责令停止销售。这其中不仅有话梅、地瓜干等小食品，甚至还有标称北京市道口食品有限公司3月27日生产的“义兴张”童子鸡。食品办提醒广大市民，凡已购买这些不合格食品的消费者，都可以凭购物小票和食品外包装向销售单位要求退货。
　　不合格食品名单
　　样品名称 商标 样品生产日期 标注生产单位名称
　　情人梅 星晨 2006年1月1日 广东省潮安县星晨食品有限公司
　　开心梅 星晨 2005年11月2日 广东省潮安县星晨食品有限公司
　　爽肉梅 星晨 2006年1月6日 广东省潮安县星晨食品有限公司
　　红心地瓜干 旅游 2005年12月19日 福建省连城县旅游食品厂
　　地瓜干 恒领 2006年2月18日 永清县好味来食品厂
　　情人梅 鸿胜 2006年1月3日 广州市鸿胜食品有限公司
　　话梅 / 2006年1月8日 北京欣洛克食品有限公司
　　什锦果脯 / 2006年2月10日 北京欣洛克食品有限公司
　　地瓜干 恒领 2006年1月5日 永清县好味来食品厂
　　果香椰梅 农夫山庄 2006年1月1日 广东农夫山庄食品工业有限公司
　　甜话梅 人间百味 2005年9月25日 广东省揭西县金和鑫悦食品厂
　　九制雪梅 富佑 2006年1月15日 北京德兴顺商贸中心
　　甜话梅 良味 2005年10月29日 北京良味庄园商贸有限责任公司
　　话梅皇 京松缘梦 2005年7月8日 北京市朝夕顺商贸有限责任公司
　　雪梅 / 2006年1月11日 北京市朝夕顺商贸有限责任公司
　　雪梅 京松缘梦 2005年11月26日 北京市朝夕顺商贸有限责任公司
　　童子鸡 富万家 2006年3月20日 北京福万家食品有限公司
　　红心地瓜干 / 2005年11月1日 北京蓝天胜业经贸有限公司、
　　山东沾化枣花香食品有限公司联合出品
　　童子鸡 义兴张 2006年3月27日 北京市道口食品有限公司 
