
    项目                                     2005年           2004年
    主营业务收入                      50,531,822.71    29,368,300.37
    净利润                             1,034,881.50       809,912.09
    总资产                           251,797,579.86   259,297,529.85
    股东权益（不含少数股东权益）     164,613,900.89   162,231,317.11
    每股收益                                  0.017           0.0084
    每股净资产                                 2.72             2.67
    调整后每股净资产                           2.72             2.67
    每股经营活动产生的现金流量净额             0.18            0.670
    净资产收益率                              0.63%            0.32%

&nbsp&nbsp&nbsp&nbsp
