&nbsp&nbsp&nbsp&nbsp2006年3月九大药市根及根茎类中药材价格（三）

&nbsp&nbsp&nbsp&nbsp单位：元/公斤



    品名                 规格      亳州      安国    荷花池   清平      玉林      禹州      廉桥    三棵树    舜王城
    麦冬               湖北产        30     26-28        －     34        34        30     22-25        38     26-28
    土贝母                 统       5.5     4.8-6       5-6      6       4-5       5-6       5-7     4.5-5     4.5-5
    松贝                   统       520   500-550   490-520    550       500       500   550-580   520-590   550-570
    川青贝                 统       380   340-380   350-360    450       450   360-410   280-330   410-480   440-460
    伊贝                 家种       150   110-180   160-170    180       180   150-180   185-190   220-270   120-200
    浙贝                 大统        29     28-30     29-30     38        30        28     26-28     29-43     29-33
    平贝             东北大统        35     38-42     46-48     50     40-45        45     28-42     35-43     45-50
    炉贝                 虎皮       350   340-380       380    400   340-370       370        －   350-360       360
    莪术                   统     8-8.5      8-10     10-11      8         8         8       7-9         6   6.5-7.5
    白术               浙江产      23.5     22-24     25-26     25        23        23     25-26        26     26-28
    白术                 地产      22.5     18-20     20-22     23        21     19-21     23-24     17-20     14-16
    白芍               亳三等       6.8   6.5-7.5     6.5-7      6         6         6       6-7       4-5     6-6.5
    白芍               亳混等       5.3     5-5.5     5.5-6    5.5       5.5     5-5.5       5-6     5-5.5     5.5-6
    白芷               遂宁统       8.5      9-10     8-8.5     －     8-8.5       8-9       8-9       8-9        12
    白芷                 地产       8.2        －     8-8.5     －         8         8   4.5-4.8       7-8       6-9
    白芷               祁白芷         8   6.5-7.5     7.5-8     －       8.5       7.5        －     7.5-8     6-8.5
    白前                   统       5.8       6-7     8.5-9      8       6-7       6-7       5-6       6-7     6-6.5
    白薇                   统        15     14-17       8-9     15     13-14        15      8-10     15-17     13-15
    白蔹                   统         8      8-11      9-11     －        10      9-10     10-11      8-10      9-10
    白头翁             东北产   13-13.5     12-14     16-18     12     13-14     11-12     14-16     14-18     10-14
    白及                   统     35-36     32-35     32-35     45        34        35     28-32     32-40     34-36
    川牛膝                 统     7.5-8   5.5-6.5     7.5-9      8         7       7-8     7-7.5         6       7-8
    怀牛膝               头肥        11      8-10     10-12     14        13        12       8-9     16-18     10-12
    怀牛膝               平条       7-8       4-6     8-8.5     10         9       7-8       6-7         8       7-8
    怀山药               毛条        12      9-11     16-22     16     15-17        13     13-14     10-13     12-15
    广山药                 统         6       7-8      9-10      8       4.5       7-8   7.5-8.5         7       8-9
    光山药               怀统        23     20-24     18-25     26        －     20-23      9-15     18-20     20-22
    泽泻               广西产       5.8   5.8-6.5     5.5-6    5.5         5     5.5-6   5.5-5.6         7       6-7
    泽泻               四川统       6.3       6-7       6-7    6.5       6.5     6-6.8     5.5-6   6.4-7.4       6-7
    天麻               家种统        48     45-55     44-50     60        55        40     48-52     30-36     45-50
    大黄                 马蹄   6.3-6.5     5.5-7     7-8.5      6         6         6     6-6.5         6       6-7
    大黄               菜子黄       3.2   2.8-3.2       4.5      4       3.5     3.5-4     4-4.5     3-3.5   3.5-4.5
    大黄                 水根     3.8-4     3-3.5       3-4      3       3.2     3-3.5   2.5-2.8         3       3-4
    附子                 黑片        21     17-20     11-13     13        20     18-20     15-16        17     15-18
    附子                 白片        18     12-14     10-12     16        18     15-18     18-21     11-13     16-17
    云木香                 统         8   7.5-8.5     6.5-8    8.5       8.5         8       8-9       8-9       8-9
    桔梗                   统       8.3    8.5-10      9-12     11      9-10       7-8     10-12    8.5-10      9-10
    郁金                   温      10.5     11-12   11-12.5     14        12        11     14-15        10     13-15
    郁金                   统        12     12-13    8.5-10     11        12       9.5     13-14         8     12-14
    水半夏                 统     7-7.5      8-10       7-8      6         7         7       6-7         7       7-9
    旱半夏               川统        55     45-48     50-52     50        54     46-48     45-48     48-52     48-53
    前胡                   信        20     18-20   16-16.5     18     18-20     14-15     13-14        20     13-17
    柴胡     内蒙产粉质黑柴胡     30-35        34        －     －        37        35     35-36     34-36     36-38
    柴胡     内蒙产粉质红柴胡     38-40     35-40        －     －        40        42     35-45     35-50     43-45
    柴胡         甘肃产黑柴胡        18        20     23-24     －        24        18     23-25     20-23     23-25
    柴胡         甘肃产红柴胡        17     19-20     20-22     －        22        17     32-35        22     20-22

