　　注：G全兴年报尚未公布，未计算市盈率、市净率
　　实施股改复牌至今 涨幅前100家公司
　　证券代码 证券简称 市净率（倍） 市盈率（倍） 实施复牌至今涨跌幅(%) 
　　600550 Ｇ天威 7.63 75.95 269.10 
　　600456 Ｇ宝钛 9.53 46.92 236.85 
　　000718 ＧST环球 3.14 80.03 228.31 
　　000060 Ｇ中金 5.67 29.42 227.08 
　　600961 Ｇ株冶 3.90 47.51 204.16 
　　002048 宁波华翔 5.72 87.65 199.66 
　　600331 Ｇ宏达 6.26 33.51 160.56 
　　600030 Ｇ中信 5.19 73.20 135.88 
　　600151 Ｇ航天 4.56 88.38 124.87 
　　002024 苏宁电器 9.96 33.21 123.03 
　　600549 Ｇ厦钨 8.29 40.64 113.75 
　　600580 Ｇ卧龙 2.55 21.03 109.40 
　　000006 Ｇ深振业 1.64 16.38 108.50 
　　600739 Ｇ成大 2.41 33.78 108.00 
　　000602 Ｇ金马 5.12 30.55 97.31 
　　600761 Ｇ合力 3.14 21.20 96.94 
　　000090 Ｇ天健 1.11 19.92 94.76 
　　600832 Ｇ明珠 5.26 51.37 94.73 
　　600348 Ｇ国阳 2.67 12.20 93.55 
　　600362 Ｇ江铜 3.94 18.11 91.35 
　　000751 Ｇ锌业 1.63 708.32 90.42 
　　600531 Ｇ豫光 1.90 15.43 85.95 
　　600533 Ｇ栖霞 3.54 16.60 85.10 
　　600547 Ｇ鲁黄金 6.44 45.78 85.00 
　　600528 Ｇ中铁 1.28 29.52 84.19 
　　600831 Ｇ广电 9.05 99.63 82.15 
　　600485 Ｇ中创 4.55 -29.18 81.73 
　　600432 Ｇ吉恩 4.27 19.03 81.63 
　　600150 Ｇ重机 4.95 26.15 80.67 
　　000594 Ｇ宏峰 2.57 47.67 80.19 
　　000878 Ｇ云铜 2.48 12.67 77.06 
　　600366 Ｇ韵升 2.53 27.94 76.51 
　　000031 Ｇ中粮地 3.75 40.13 75.79 
　　600357 Ｇ承钒钛 1.70 17.06 75.77 
　　000061 Ｇ农产品 2.13 216.68 75.03 
　　600361 Ｇ综超 5.01 30.07 74.90 
　　600663 Ｇ陆家嘴 2.31 25.72 74.76 
　　000568 Ｇ老窖 4.30 143.39 74.07 
　　600219 Ｇ南山 1.50 19.05 72.91 
　　600472 Ｇ包铝 2.06 20.94 72.88 
　　600468 Ｇ百利 2.53 41.99 72.77 
　　600583 Ｇ海工 6.18 24.78 72.02 
　　600836 Ｇ界龙 2.94 35.97 71.31 
　　600525 Ｇ长园 4.02 29.53 69.69 
　　600973 Ｇ宝胜 1.53 18.45 66.83 
　　000576 Ｇ甘化 2.20 -5.33 66.25 
　　002007 华兰生物 3.10 31.02 66.19 
　　600675 Ｇ中企 1.83 10.04 65.94 
　　000930 Ｇ丰原 2.26 37.31 65.21 
　　600501 Ｇ晨光 4.79 48.78 64.54 
　　600584 Ｇ苏长电 2.99 40.11 64.36 
　　000002 Ｇ万科Ａ 2.98 18.34 62.78 
　　002022 科华生物 4.73 28.56 62.60 
　　600320 Ｇ振华 5.52 20.89 62.34 
　　000537 Ｇ广宇 3.02 73.04 61.47 
　　600425 Ｇ青松 1.50 34.99 61.37 
　　000623 Ｇ敖东 1.94 24.30 61.34 
　　000690 Ｇ宝丽华 3.53 21.90 61.00 
　　002028 思源电气 4.06 21.19 59.49 
　　000962 Ｇ东方钽 2.19 65.43 59.31 
　　600508 Ｇ上能 2.33 12.01 58.84 
　　600183 Ｇ生益 4.79 30.71 58.63 
　　600824 Ｇ益民 2.75 29.75 56.96 
　　000630 Ｇ铜都 1.50 10.90 56.94 
　　000636 Ｇ风华 1.15 196.55 56.85 
　　000046 Ｇ泛海 1.83 28.46 56.50 
　　000898 Ｇ鞍钢 2.93 15.95 55.50 
　　002001 新和成 2.26 27.87 55.32 
　　000869 Ｇ张裕 8.00 47.37 55.11 
　　600481 Ｇ双良 1.70 44.35 54.69 
　　600616 Ｇ食品 7.36 26.50 54.22 
　　000501 Ｇ武商Ａ 2.47 198.84 54.12 
　　000917 Ｇ电广 1.08 253.74 53.81 
　　600260 Ｇ凯乐 1.23 27.41 53.18 
　　000608 Ｇ阳光 2.18 14.11 52.47 
　　600718 Ｇ东软 2.19 50.15 52.46 
　　000759 Ｇ中百 2.23 38.23 52.40 
　　600016 Ｇ民生 2.79 15.99 50.03 
　　600801 Ｇ华新 1.43 27.93 49.45 
　　000550 Ｇ江铃 1.92 11.15 49.26 
　　600390 Ｇ金瑞 1.11 -4.84 48.74 
　　000876 Ｇ新希望 1.52 14.92 48.42 
　　600479 Ｇ千金 2.22 21.45 48.19 
　　600487 Ｇ亨通 1.40 18.91 47.67 
　　600470 Ｇ六国 2.26 19.28 47.47 
　　000099 Ｇ海直 2.13 29.04 46.47 
　　000055 Ｇ方大Ａ 3.96 -28.28 46.34 
　　600058 Ｇ五矿 1.95 17.41 45.98 
　　000837 Ｇ秦发展 1.82 25.22 45.85 
　　600748 Ｇ实发展 2.08 20.29 45.77 
　　000400 Ｇ许继 1.25 20.40 45.40 
　　002029 七匹狼 3.06 27.67 45.10 
　　600066 Ｇ宇通 2.00 13.76 45.10 
　　600779 Ｇ全兴 45.08 
　　600226 Ｇ拜克 1.48 18.19 44.87 
　　600639 Ｇ金桥 2.25 28.86 44.65 
　　600787 Ｇ中储 1.62 38.51 44.65 
　　000762 Ｇ藏矿业 3.58 60.98 44.47 
　　002008 大族激光 6.08 44.87 44.41 
　　600111 Ｇ稀土 2.47 216.24 44.13 （（周韬 整理））
