
　　1、常吃宵夜.会得胃癌. 因为胃得不到休息
　　2、一个星期只能吃四颗蛋.吃太多.对身体不好
　　3、鸡屁股含有致癌物, 不要吃较好
　　4、饭后吃水果是错误的观念. 应是饭前吃水果
　　5、女生月经来时.不要喝绿茶. 反正茶类不要喝就对了.多吃可以补血的东西
　　6、喝豆浆时不要加鸡蛋及糖. 也不要喝太多
　　7、空腹时不要吃蕃茄, 最好饭后吃
　　8、早上醒来.先喝一杯水. 预防结石
　　9、睡前三小时不要吃东西. 会胖
　　10、少喝奶茶. 因为高热量.高油.没有营养价值可言.长期饮用.易罹患高血压.糖尿病等疾病
　　11、刚出炉的面包 不宜马上食用
　　12、远离充电座. 人体应远离30公分以上.切忌放在床边
　　13、天天喝水 八大杯
　　14、每天十杯水. 膀胱癌不会来
　　15、白天多喝水. 晚上少喝水
　　16、一天不要喝两杯以上的咖啡. 喝太多易导致失眠,胃痛
　　17、多油脂的食物少吃.因 为得花5~7小时去消化,并使脑中血液集中到肠胃.易昏昏欲睡
　　18、下午五点后.大餐少少吃, 因为五点后身体不需那么多能量
　　19、10种吃了会快乐的食物: 深海鱼,香蕉,葡萄柚,全麦面包,菠菜,大蒜,南瓜,低脂牛奶,鸡肉,樱桃
　　20、睡眠不足会变笨, 一天须八小时睡眠,有午睡习惯较不会老
　　21、最佳睡眠时间是在 晚上10点~清晨6点
　　22、每天喝酒不要超过一杯, 因为酒精会抑制制造抗体的B细胞,增加细菌感染的机会
　　23、服用胶囊应以冷水吞服(可以第一个吃), 睡前30分先服药.忌立即躺下
　　24、酸梅具防止老化作用, 青春永驻;肝火有毛病者宜多食用
　　25、掉发因素: 熬夜,压力,烟酒,香鸡排.麻辣锅.油腻食物.调味过重的料理
　　26、帮助头发生长:多 食用包心菜,蛋.豆类;少吃甜食(尤其是果糖)
　　27、每天一杯柠檬汁,柳橙汁. 不但可以美白还可以淡化黑斑
　　28、苹果是机车族、瘾君子、家庭主妇的常备良药， 一天一颗，才能让自己有个干干净净的肺
　　29、抽烟又吃维他命(B胡萝卜素-A维他命的一种), 会致癌,尽早戒烟.才是最健康的做法
　　30、女性不宜喝茶的五个时期: 月经来时,孕妇,临产前.生产完后,更年期
　　31、抽烟,关系最大的是 肺癌,唇癌,舌癌,喉癌,食道癌,也与膀胱癌有关
　　32、饮酒导致肝硬化 .引发肝癌
　　33、吃槟榔会导致口腔纤维化, 口腔癌
　　34、食物过于精细,缺乏纤维; 含大量脂肪,尤其是胆固醇会引发胃癌
　　35、食物过于粗糙, 营养不足时导致食道癌,胃癌
　　36、食品中的黄曲毒素. 亚硝酸类物皆具有致癌性
　　37、不抽烟. 拒吸二手烟
　　38、适量饮酒, 不拚久.不醉酒
　　39、减少食用 盐腌.烟熏,烧烤的食物
　　40、每天摄取新鲜的 蔬菜与水果
　　41、每天摄取富含高纤维的 五谷类及豆类
　　42、每天摄取均衡的饮食, 不过量
　　43、维持理想体重. 不过胖
　　44、保持规律的 生活与运动
　　45、保持 轻松愉快的心情
　　46、正确饮食习惯: 早上吃的像皇帝,中午吃的像平民,晚上吃的像乞丐
