&nbsp; 
　　有关专家建议，过年吃大鱼大肉，生猛海鲜之时，也一定要多吃以下10种健康食品：
　　番茄　番茄能够大幅减少患胰腺癌等癌症的几率，它还是最佳的维他命C来源。

　　菠菜　富含铁及维他命B，能有效防治血管方面疾病。
　　坚果　它不仅可以提高好的胆固醇，并能降低血液中的三酸甘油脂，是预防心脏病的最佳配方。

　　椰菜花　它富含胡萝卜素及维生素C，长期食用可以减少患乳癌、直肠癌及胃癌的几率。
　　燕麦　每天食用燕麦麦片可以降低胆固醇，它所含的丰富纤维会使人很快就有饱腹的感觉，可达到控制体重的目的。
　　鲑鱼　经常食用可以防止血管阻塞，预防老人痴呆等疾病。
　　大蒜　它有极佳的防治心脏疾病的功能，不仅可以降低胆固醇，并有清血的效用，杀菌功能也备受科学家强力推荐。

　　草莓　在所有蔬果中拥有极高的抗氧化剂，除了可以预防心脏病和癌症，并能增进脑力。
　　
　　绿茶　经常饮用绿茶患胃癌、食道癌及肝癌的几率较低，日本的研究也发现，每天喝10杯绿茶，可以减少患心脏病的风险。
　　红酒　酿酒用的葡萄皮有丰富的抗氧化剂，能够增加好的胆固醇，减少血管硬化，但千万不能过量。
　　2&nbsp; 
