
　　Agreement: 主语和谓语在人称、数上的一致，关系代词与先行词的一致。
　　Ambiguity: 尽量不去使用可能引起歧义的词语或句子。
　　Brief: 文章"简为贵"，要抓住要点，简明扼要。
　　Coherence: 文理通顺，前后连贯。
　　Development: 主题的发挥应当充分、合理、正确。
　　Division: 词汇、句子、段落要分配使用得当，划分要清楚，避免使用重复字句和种子片段。
　　Figures: 正确合理使用各类修辞格式。
　　Inflated diction: 不使用做作的语言。
　　Key: 用适当的关键词突出主题，每段都应有主题句。
　　Logical: 内容要符合逻辑。
　　Message: 信息要新鲜、确实、可信。
　　Omit: 合理删除多余的不必要部分。
　　Proposition: 主张、观点、论述要清楚肯切、合情入理。
　　Punctuation: 正确适时使用标点符号。
　　Relevant: 文章一定要要题。
　　Sentence pattern: 句型要尽量多样化。
　　Strait: 开门见山，直来直去。
　　Style: 文体恰切，适合内容要求。
　　Tense: 动词时态要正确、一致、变化合理。
　　Theme: 选题得当，主题突出。
